安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
5.001,2.6694,6.9357,3.8369,5.2311,4.4619,2.7604,3.442,2.2796,5.7137,4.1417,,4.7742,3.9063,2.2894,4.6759,1.3333,7.7537,3.1902,5.3922,4.3956,0
5.0444,11.7537,7.4462,4.9052,9.4145,3.2995,5.5416,4.6233,6.2155,3.1843,3.0769,,12.2912,2.6738,2.0295,5.8223,3.0667,3.7879,4.0524,6.5421,5.317,9.1798
8.7138,6.3793,9.7503,8.0313,5.8698,7.0025,11.1111,7.6923,5.4698,5.9948,8.7539,,8.2873,6.5909,1.3799,9.6173,2.3224,5.9848,5.8617,9.417,8.2677,4.9853
4.8372,4.5886,7.8841,4.5835,4.5918,4.8387,6.7236,4.3411,7.3684,2.7822,4.5948,,7.2165,3.0501,1.2856,4.2373,1.108,6.3476,10.7676,6.867,7.2491,5.2632
6.3801,6.3123,4.6021,5.8128,3.8585,3.4792,7.1502,4.0881,10.3079,4.9762,4.9834,,7.6923,4.9383,2.3897,3.7645,1.6438,4.8269,7.1642,4.7826,6.1111,12.4188
4.907,6.2712,4.3256,6.063,6.1506,5.2813,11.1455,7.396,7.7869,9.7494,3.0303,,8.4081,2.2539,2.0619,6.4238,1.1034,4.253,7.7154,4.8673,9.7649,6.5649
3.4455,4,4.9625,7.1448,4.0043,3.4642,8.563,3.9063,4.7945,1.9753,1.6235,,4.7564,1.81,1.7447,4.7525,0.9682,2.6374,3.2587,4.8246,4.486,4.4684
3.8958,4.3876,2.561,10.8116,3.871,5.3635,5.315,3.8462,8.0597,4.2879,1.7109,,4.674,2.9862,2.844,9.9147,1.5193,4.1427,4.1845,3.1674,10.0386,5.2502
3.3954,4.5455,6.0048,8.9272,5.0314,3.7844,,4.0498,6.6572,6.3889,3.2648,14.4928,6.81,1.3564,2.1043,3.876,2.7397,7.4527,4.127,3.1111,4.5045,4.4643
8.0833,3.9773,3.325,10.007,4.5154,3.7383,4.8241,2.7419,4.7761,6.5816,1.6957,4.4884,4.4304,1.597,3.8175,3.2528,1.532,2.6624,1.9694,4.5662,9.1248,4.6809
6.0723,2.7574,3.1506,10.627,3.3934,4.6328,5.8824,3.3333,4.5455,3.1341,2.6234,3.6388,4.1667,2.187,3.3303,3.1336,0.8299,2.2801,2.5137,3.1111,7.3814,6.737
3.5843,3.5849,7.3539,7.7228,6.1702,3.6954,9.1192,2.0833,3.9246,6.3894,1.8402,5.2669,5.1181,2.1936,2.2665,3.2802,1.2483,2.5584,3.2438,3.139,6.2612,4.6288
8.0782,6.5891,5.1034,8.2907,8.75,5.1136,8.2692,5.2545,5.5921,5.8706,2.3917,4.4928,6.2162,1.6067,1.8315,8.3,2.2099,3.9326,5.0619,2.2422,6.2264,7.3636
7.8439,5.9524,4.1972,7.0861,12.9735,5.2326,8.9732,4.3118,8.9679,5.6297,3.565,6.0958,7.9498,3.5988,3.3636,7.001,1.7784,3.5227,3.211,5.9091,5.7762,9.9344
6.7686,2.5692,3.4979,7.1621,7.8947,3.9443,11.814,2.551,5.5369,4.6858,3.2962,5.9391,3.3287,2.3566,5.8824,6.7511,5.3405,4.0276,3.3136,2.3585,5.5769,4.2017
4.0395,6.4386,4.6322,6.7418,9.0814,5.2934,6.8041,4.1379,6.701,5.7536,4.697,7.0069,5.7103,2.7603,3.1103,9.375,4.3081,10.3129,5.5687,5.7143,11.8,9.5329
4.1224,2.8355,3.0988,5.553,5.8468,2.99,5.3728,2.6403,3.9024,5.6533,1.6697,3.7911,3.9578,1.9985,2.5902,2.8763,1.7687,4.0042,2.9545,1.8265,5.2727,6.1525
3.4841,3.668,3.125,5.521,8.0882,6.6438,9.1629,2.7869,3.8462,4.4439,2.2498,3.461,3.0096,1.6279,1.9337,5.2376,5.3498,3.6757,3.9489,1.8519,5.5459,5.9031
4.1388,4.1746,3.2595,7.4178,7.6409,2.823,3.5941,2.2838,5.2013,4.4575,1.78,3.1159,4.2177,2.093,2.0352,5.4913,2.4,2.9947,2.659,2.3148,4.8527,4.8889
4.1205,2.729,3.3553,3.871,4.2056,2.9126,,2.1311,4.7203,6.7393,1.4539,3.9216,4.507,1.2223,3.8282,11.8956,8.4768,2.5779,2.3095,2.2936,11.1702,4.0504
1.9472,3.7402,2.4183,3.8622,4.4423,3.7363,7.4675,1.7915,2.7826,2.4373,1.4512,2.8798,2.7933,1.5244,1.8164,4.2632,8.5439,4.3431,2.7778,4.9774,4.3478,3.7872
3.1508,1.996,3.7532,3.5651,3.7279,2.5303,4.5977,3.4314,2.7972,,1.9758,2.2331,2.1067,3.238,1.7291,8.4793,4.4521,3.3058,2.7211,3.1111,4.8736,3.0411
3.3527,3.6511,,3.2489,2.4414,2.3333,3.617,2.6273,3.5971,10.2965,1.219,2.66,3.3237,1.2687,4.2146,4.1436,8.2437,3.47,1.8265,3.139,8.7037,
3.4281,6.4579,3.8437,8.6561,7.6774,7.6063,3.8462,3.9936,5,10.723,1.5448,3.7873,4.6875,1.8839,2.6575,8.9686,4.1397,3.556,2.5346,3.0973,7.9646,3.9705
6.3209,5.6566,2.8791,4.8004,4.7423,3.1138,3.3769,2.6446,4.6555,11.3646,1.1442,1.5567,4.6269,5.9783,2.3739,4.4231,6.8211,4.8458,2.0024,1.8265,3.1955,7.8799
2.5581,2.1459,4.6814,3.925,4.7878,2.2005,4.2458,1.5101,2.5048,6.9535,1.2385,2.2506,2.6439,2.088,1.6521,3.869,7.1795,2.5192,1.4201,3.2258,3.1008,7.2063
2.0925,1.9313,5.1948,4.6897,3.2511,1.6049,7.5556,1.5152,4.3977,8.7767,1.5675,2.2003,4.0435,1.1416,3.167,3.5468,4.824,2.0971,1.9048,1.8779,2.7079,4.0598
4.0404,2.3207,2.6423,4.5607,3.01,2.0885,3.1727,2.3372,2.2181,5.7131,1.012,1.7241,2.5641,0.9132,1.9011,4.4444,4.1278,3.304,1.3018,1.8868,2.2945,5.2301
4.9424,2.9661,1.4785,10.2809,2.5698,1.861,3.1175,2.6359,3.7244,10.5905,0.7411,2.361,4.5662,3.0558,2.0448,8.9303,3.871,1.573,1.0651,2.8169,8.2061,3.5318
5.4549,4.2105,1.5583,3.1154,2.069,1.6189,2.5271,2.1417,3.1481,6.834,1.2623,2.2053,2.5449,1.5825,,2.7077,5.7107,2.4859,1.0702,2.3923,2.7829,4.8338
2.8956,2.6971,1.2987,3.2635,1.8182,1.1278,2.6159,2.3333,1.5152,8.6191,0.8447,1.9985,1.5432,1.1556,3.9216,4.8204,3.3121,1.6835,1.3189,2.8436,3.0418,3.8268
