,开盘价_Oppr,日振幅(%)_Dampltd,等权平均市场日收益率_Dreteq,等权平均市场日资本收益率_Dareteq,日无风险收益率_DRfRet,市现率_PCF
开盘价_Oppr,1,0.485244847,0.03308962,0.032377034,0.512041544,0.241945003
日振幅(%)_Dampltd,0.485244847,1,0.147116219,0.148081368,0.243993516,0.336787781
等权平均市场日资本收益率_Dareteq,0.032377034,0.148081368,0.999955266,1,0.003486372,0.013469774
日无风险收益率_DRfRet,0.512041544,0.243993516,0.00196493,0.003486372,1,0.374198141
市现率_PCF,0.241945003,0.336787781,0.014923982,0.013469774,0.374198141,1
