,有色板块开盘价,有色板块等权平均市场收益率,有色板块日收益率,有色板块日无风险收益率,有色板块日震幅,有色板块市净率,有色板块市现率,有色板块成交量,有色板块换手率
0,55.94828295762033,0.003204716123694532,0.1265239919294816,2.5191630661698344e-05,9.294889425894766,34.68199073241372,818.679790979218,815588692.4925543,-1.3804382119654783
1,61.88345052785639,-0.0006578061020567154,0.10662662828090523,2.5191630661698344e-05,5.039996185552676,34.68199073241372,818.679790979218,676537254.8182671,2.15798225496643
2,65.57199433388392,-0.013727951846220433,0.22180374494035945,2.4203367840313044e-05,9.05455708551034,34.68199073241372,818.679790979218,746968185.8582149,8.024631955672175
3,69.34726523801338,-0.014399352179194727,0.17788794014109305,2.3483981876102687e-05,7.281184097560931,34.68199073241372,818.679790979218,994852807.018928,6.281061770240136
4,73.28892087616671,-0.002294624618691482,0.02493103046188476,2.2764595911892342e-05,8.342882065983787,34.68199073241372,818.679790979218,886323193.7032712,10.50392135845984
5,76.13638662498175,-0.019366304508328984,-0.03859408721483033,2.2530953146167166e-05,17.39724417780395,34.68199073241372,818.679790979218,864723565.2946885,9.261133403911225
6,65.55828478645213,0.004525792369233704,0.12723685481586627,3.2792777171040054e-05,21.337060965786208,34.68199073241372,818.679790979218,676617138.242503,8.87061274109936
7,71.98834771448162,-0.00817775380066376,-0.1372257638451891,2.1811567181956822e-05,19.556566910888343,34.68199073241372,818.679790979218,808751003.2755966,7.334724976092913
8,62.86197226963299,0.0024801611227750243,-0.10025342240917358,2.1811567181956822e-05,0.2700886201408834,34.68199073241372,818.679790979218,509546095.0440371,4.85837981282194
9,58.27014606775846,0.007204874535418652,-0.10799627485109778,2.1577924416231646e-05,8.835975819286855,34.68199073241372,818.679790979218,524386260.37103474,11.737063133707206
10,59.36762633720079,0.011379787165571474,0.08714046963144269,2.1577924416231646e-05,9.592741966688678,34.68199073241372,818.679790979218,512942191.50675917,4.289750573036185
11,64.23499747258192,0.008682250985337554,0.009101054690767156,2.08585384520213e-05,11.361828297446591,34.68199073241372,818.679790979218,566069030.8228898,6.0772150432524334
12,67.68742707008477,-0.0017201520175902287,0.13537688506349044,2.1577924416231646e-05,4.652769373158174,34.68199073241372,818.679790979218,490200599.66256154,7.737676715463983
13,69.79042574933234,0.002393006723940389,0.06712039583245327,2.1577924416231646e-05,7.363833386396006,34.68199073241372,818.679790979218,557956905.718811,5.599567370800251
14,74.528191603789,-0.01092642464104677,0.1583761367331796,2.1577924416231646e-05,7.677553574184338,34.68199073241372,818.679790979218,477095883.507223,2.5337717313294377
15,83.78795443780521,-0.007053004509991367,0.18440682455190008,2.1577924416231646e-05,3.4244206472545566,34.68199073241372,818.679790979218,581205345.7924628,1.1956535024987256
16,89.76109901272707,-0.008510746865018482,-0.22443131235643382,2.1577924416231646e-05,5.4118444295040105,34.68199073241372,818.679790979218,430328677.32099336,9.34654942006544
17,76.9736819202318,-0.003660192348958966,0.0851353878874319,2.229731038044199e-05,18.73142670085444,34.68199073241372,818.679790979218,454661802.21715105,9.899228852737668
18,76.71492404275456,-0.010163713577226787,-0.08673626089076719,2.3502439543137516e-05,13.037455275519541,34.68199073241372,818.679790979218,544289682.0872729,7.433076359429016
19,84.44698340263334,-0.011483258563891614,0.008235581434659484,2.4707568705833083e-05,15.97872221709057,34.68199073241372,818.679790979218,431937444.8617193,8.725279667141589
20,82.78293539180966,0.004026110359903479,-0.0723029521281948,4.689373513241111e-05,12.121823571815252,34.68199073241372,818.679790979218,429732542.5216814,4.3398851354588155
21,76.24188290599363,-0.0028574426236615807,0.040530660992524836,2.4473925940107907e-05,6.368659550827227,34.68199073241372,818.679790979218,413005659.1531155,3.6660306032470897
22,76.83093383615407,-0.01536262101747514,0.13277808620396056,2.424028317438273e-05,13.436796599357859,34.68199073241372,818.679790979218,697112599.5619962,5.530528272738104
23,80.14434019894594,-0.02028755232902698,-0.0656028437630065,2.3539354877207203e-05,4.436515433021116,34.68199073241372,818.679790979218,458573944.97020024,6.446237215567977
24,73.90151723740972,-0.004969728662475078,-0.11920096620516073,2.283842658003169e-05,6.372182203314957,34.68199073241372,818.679790979218,446768239.9751382,3.036591442301817
25,70.21817229707479,0.0067359452446839685,0.14938829164007839,2.213749828285616e-05,16.407804063152227,34.68199073241372,818.679790979218,471192163.88566786,7.988881586094487
26,73.8289186590642,0.013724009277672545,0.051200024006421166,2.314880748952146e-05,12.239405464419043,34.68199073241372,818.679790979218,539507247.9160998,6.462649514525518
27,74.8709692390018,0.0003924716159194111,-0.0700145558666922,2.2856884247066477e-05,11.839304234238027,34.68199073241372,818.679790979218,607920578.0037146,7.515976691821665
28,80.27289512474924,0.02790277934738655,0.13288806303540643,2.26232414813413e-05,1.1194803299618716,34.68199073241372,818.679790979218,533828746.568016,4.9256855933814325
29,77.73325345696087,0.025638945854003378,-0.18048154701921965,2.26232414813413e-05,4.551775961416976,34.68199073241372,818.679790979218,1294743653.1601632,5.28580328715056
30,75.48365439922728,-0.000452435570179586,-0.15953590920909175,2.410183621945702e-05,-0.5133881715550359,34.68199073241372,818.679790979218,1370720827.701292,2.4695706134389583
31,64.49388771246808,-0.009378956635579534,-0.19139923270513937,2.380991297700204e-05,-0.7734664506430411,34.68199073241372,818.679790979218,872001360.9619222,-3.319834881806914
32,61.86875620103223,0.0003938133363570158,-0.11559531582192901,2.380991297700204e-05,13.086595249872659,34.68199073241372,818.679790979218,1021646455.4495096,1.357959700062409
