安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
1.0527,4.0121,4.658,7.0029,0.8936,2.2042,1.4919,1.0702,4.4738,4.0184,1.1035,3.4567,8.9462,1.0431,0.9144,3.7237,0.6855,2.5884,1.0806,1.2157,3.5187,0.4142
0.8024,5.2778,3.7579,5.8921,1.3507,3.1038,5.6063,0.8463,4.197,3.2453,1.0028,3.4567,13.2126,1.2743,0.7686,4.0462,1.0815,1.8814,1.2024,1.7086,3.4055,5.1114
1.2649,5.2061,6.695,9.8506,2.6879,5.3379,8.0166,2.7279,5.4624,4.1427,2.9954,3.4567,16.0931,3.3955,0.6561,6.385,0.8232,3.0213,2.8781,3.4655,9.172,5.2284
0.8733,4.703,6.8864,6.8804,1.5022,4.7136,11.296,1.7252,3.7309,2.2458,2.2897,3.4567,10.9588,2.4067,0.625,3.8839,0.6213,2.9059,4.8349,2.2344,6.6195,3.6343
0.901,3.2222,4.523,5.1094,1.2361,3.2682,7.1214,1.6282,4.1087,2.7825,1.6433,3.4567,8.4338,1.8176,1.2265,3.2219,0.781,2.1915,3.9696,1.4859,5.7367,3.8707
0.5699,2.6917,3.046,3.9714,1.0333,2.7594,9.649,1.4727,3.4444,5.021,0.8726,3.4567,7.6803,1.0011,1.1195,3.3303,0.6969,1.5494,2.5143,1.5163,4.9762,2.7706
0.6693,2.2857,2.8926,3.9135,0.8207,2.0024,7.0917,0.8074,3.2655,3.1712,0.816,3.4567,6.202,0.9903,0.8973,3.4662,0.5989,1.4294,1.9777,1.1779,2.9415,3.2232
0.5603,2.6419,2.2958,7.2238,1.0713,3.0308,4.9026,0.903,2.9102,2.613,0.6459,3.4567,5.2895,0.9463,1.4358,2.3704,0.8357,1.3708,1.5934,1.1728,5.5197,2.695
0.3989,2.1872,3.5543,12.6534,1.0542,2.1896,5.9026,0.7962,2.8703,2.7889,1.0288,9.1933,5.7387,0.8539,0.8569,6.4301,0.9515,2.0794,1.6077,0.8606,4.9712,2.5116
1.1372,2.5473,2.4176,11.331,1.2074,2.6615,5.8714,0.8403,1.9822,1.8975,0.5929,4.5135,4.5628,0.744,1.9844,4.7325,0.5207,1.3408,1.1476,0.9998,7.0416,2.6459
0.8628,2.0544,2.5511,16.9384,1.2657,3.4759,6.5432,0.8752,2.332,2.6353,0.7096,3.3951,6.0158,0.8441,1.4195,3.743,0.6113,1.2328,1.2635,0.9351,7.8336,3.0588
0.5093,1.8858,2.5525,11.1731,1.6084,2.3692,8.3885,0.6984,1.997,2.169,0.4587,2.3585,3.9392,0.9288,1.0547,2.9296,0.5678,0.7294,1.0916,0.8157,4.9407,2.7004
0.8205,1.8669,2.2294,10.1876,1.0227,2.0125,11.1168,0.7501,1.6247,2.6095,0.7044,2.0646,3.7059,0.7485,0.691,3.6134,0.9754,0.9546,1.1838,0.852,9.3287,2.1189
0.7261,1.8277,1.8388,9.0746,5.4001,2.349,9.4403,0.7136,1.9156,3.3031,0.7073,2.0201,3.9233,1.0631,1.9246,3.2653,1.8032,0.9052,0.9951,1.0231,7.1364,2.5598
0.6199,0.9974,1.3528,7.9264,2.5139,1.9045,10.0816,0.5045,1.6412,2.5747,0.5592,1.5602,2.5763,0.5755,3.1509,2.6502,3.575,0.8506,0.8021,0.5452,4.8599,1.5022
0.3777,2.1239,2.6617,7.7824,2.1749,2.7746,6.9688,0.6115,2.4721,1.9523,0.8074,2.5677,4.4169,0.906,1.4258,5.512,1.8809,2.4534,1.2563,1.0736,5.7337,2.9033
0.4451,1.4176,1.8047,7.5492,1.6456,2.3639,4.5814,0.5559,1.8734,2.2319,0.463,1.766,3.5996,0.7527,1.2694,3.9493,1.0946,1.8284,0.9664,0.7277,8.8249,2.3351
0.302,1.5782,2.0568,5.7519,2.7453,4.222,5.5419,0.6216,1.351,3.8599,0.4759,1.5714,2.87,0.7363,0.8434,4.181,2.375,1.4876,1.0703,0.6201,5.5643,2.1193
0.4693,1.2416,1.216,6.5403,3.8463,2.1701,4.2294,0.4691,1.8004,1.9801,0.3463,0.9928,2.9919,0.732,0.9046,3.4973,1.16,0.8108,0.6562,0.7108,4.4788,1.5474
0.2959,0.8556,1.4478,3.9049,2.0075,1.8693,5.2294,0.3966,1.4492,1.4103,0.3691,1.3033,2.1585,0.5561,0.8708,5.997,5.7569,0.7422,0.623,0.7823,6.1622,1.2387
0.2648,0.9686,2.1084,3.8658,2.6067,2.1176,5.3195,0.3825,1.1089,3.4147,0.5805,2.6164,2.3577,0.9165,0.5404,5.5804,7.1741,2.1849,1.1117,1.6777,3.8913,1.5331
0.4218,0.9899,1.5502,3.7729,1.7972,1.428,3.9447,0.616,1.2445,3.4147,0.5087,1.5953,2.3471,0.9981,0.4666,5.5914,3.7351,1.5781,0.8624,1.0694,3.5278,1.8273
0.347,1.1424,1.5502,3.3749,1.2951,1.4086,2.3292,0.4327,1.1484,7.8458,0.3603,1.1998,2.236,0.7555,0.7186,4.5844,4.6556,1.084,0.6697,0.8366,4.5621,1.8273
0.3584,1.2883,1.8541,5.5333,1.7789,3.3282,3.5098,0.5456,1.4669,5.8544,0.404,1.3323,3.0228,1.1106,0.594,5.3901,2.628,1.0582,0.7484,0.9044,4.5139,1.5773
0.6591,1.8461,1.3756,3.8154,1.4401,1.8,3.5474,0.3846,1.4058,4.9816,0.4026,0.6696,2.5802,2.4223,0.5284,3.1312,2.8591,0.979,0.5998,0.5469,2.6769,2.2191
0.2647,0.8076,1.6216,4.1854,1.4718,1.3709,3.7956,0.2579,0.9481,4.0051,0.3318,0.8071,1.5154,1.0667,0.4554,2.3345,2.5364,0.6713,0.4084,0.6158,2.3806,2.9049
0.3099,0.7353,2.692,4.1417,0.9741,1.1655,4.8081,0.2248,1.3153,6.0959,0.4156,0.7832,2.0265,0.6568,0.7185,2.3613,2.7257,0.5708,0.4093,0.7417,2.3477,2.0129
0.3723,0.8148,1.2766,3.5736,0.7297,1.3955,2.9668,0.3719,0.9287,8.7304,0.3264,0.9149,1.4968,0.5354,0.4911,2.259,3.1636,0.7231,0.3597,0.8686,2.1881,2.0718
0.59,0.7611,0.899,7.6839,0.9415,1.1614,2.6635,0.3187,1.0701,11.1218,0.4147,0.9321,2.1649,1.1972,0.4422,4.3352,2.9527,0.7207,0.4215,0.6898,4.3987,1.4947
0.8047,1.4383,1.124,6.0662,0.668,0.9325,2.7725,0.2579,0.9078,6.3172,0.2965,0.8108,1.6538,0.9576,0.4422,2.5328,3.4215,0.6064,0.3961,0.5688,2.2506,1.5002
0.3519,0.7148,1.0184,3.5021,0.5495,0.9304,2.6531,0.2493,0.6767,6.7237,0.2459,0.7683,1.0811,0.473,0.7054,2.3474,2.6121,0.518,0.4219,0.4936,2.5816,1.7316
0.4177,0.6492,1.4777,3.0602,0.7789,0.9862,3.4997,0.2164,0.9575,5.9537,0.3903,1.2839,1.5563,0.7377,0.7211,1.944,2.7912,1.0007,0.6003,0.5343,1.8251,1.1695
0.3586,0.6223,2.7264,2.7106,0.5354,0.7507,2.2408,0.1884,1.4322,5.981,0.4926,1.8373,1.6992,0.8455,0.5319,2.1918,3.3589,0.8992,0.4753,0.4778,1.2477,2.0032
0.3366,0.784,1.4287,4.3761,0.7993,1.1321,1.666,0.3481,1.446,6.2658,0.3621,0.7901,2.4882,0.7131,0.5718,2.5665,2.2405,0.5998,0.6544,0.5137,2.5503,1.5509
0.8454,1.6855,1.4306,4.756,1.0027,1.5627,1.9635,0.5252,2.0142,4.7263,0.4357,1.1946,4.0408,0.9136,2.3394,3.4454,4.4292,0.7639,0.8823,1.6829,3.5485,1.2822
0.6086,1.0915,1.574,6.1983,0.665,1.2244,2.4334,0.4003,1.2463,4.7691,0.5669,1.6801,2.1429,0.9176,1.1366,3.8691,2.5153,1.4597,0.7229,0.8221,2.7588,2.077
0.5052,0.8955,2.5536,4.6547,0.9062,1.1465,2.6249,0.4003,2.4142,4.3071,0.4975,0.8534,1.9389,0.7194,1.2594,2.9968,2.0438,0.9797,0.7135,0.8168,2.2021,1.1538
0.3808,0.4859,1.5303,2.7094,1.3463,1.576,4.6748,0.4093,1.3651,3.5912,1.1236,0.5857,1.2324,0.582,0.9217,1.6606,2.7609,0.7419,0.5366,0.6893,1.3988,1.9384
0.3959,0.551,1.768,2.1876,0.5892,0.7017,2.7403,0.2869,1.2816,4.6403,0.3812,0.7835,1.191,0.415,0.9415,2.2186,2.454,0.5585,0.3075,0.4513,1.1133,1.0917
0.3113,0.8281,0.7626,2.5242,0.7497,0.9584,2.9223,0.2289,1.2794,6.1693,0.337,0.8461,1.5633,0.5431,1.1619,2.2568,4.4917,0.5486,0.5119,0.7048,1.494,1.1266
0.3328,1.1374,1.0892,2.9536,0.7032,1.3955,1.6086,0.2983,1.109,6.1132,0.4584,1.3085,1.8506,0.738,0.6825,2.211,3.0536,2.4951,0.9817,1.3592,1.4288,1.4369
0.4483,1.7636,3.4595,3.2398,0.5953,1.195,1.2569,0.4072,2.206,6.9008,0.3763,1.3764,3.0964,0.6522,1.2537,4.3151,2.7756,1.1663,0.7518,0.7328,2.1541,2.0873
0.6733,1.858,2.8146,4.3845,0.7988,1.0835,1.9007,0.4154,1.2945,9.5729,0.3319,0.7175,2.0051,0.6891,1.2536,2.9571,2.2055,1.0721,0.5071,4.042,2.01,2.0873
0.7356,1.2927,1.9878,3.0293,0.5954,0.8328,2.4195,0.2804,0.854,6.1905,0.3393,0.5967,1.4509,0.8724,1.598,5.1691,2.6861,0.7938,0.4297,2.7949,2.1873,2.0262
0.7282,1.3663,1.9663,2.156,1.3691,0.7688,2.7954,0.242,1.1658,6.8223,0.3451,1.282,1.4802,0.5839,1.895,6.4423,2.6918,0.8278,0.5198,2.2555,1.1861,1.9009
0.7085,1.4193,1.7045,2.4047,0.599,0.7321,2.0855,0.4136,1.6576,9.9855,0.2961,0.9793,2.7874,0.4997,1.132,4.5745,2.8502,0.6668,0.4599,1.3644,1.6908,1.2211
1.0298,2.7615,1.457,2.9415,0.5974,0.9236,1.6941,0.3591,1.8541,6.6095,0.3489,1.638,4.8037,0.5141,2.2811,4.5851,4.1031,0.7966,0.8718,0.7153,1.4207,1.3118
0.7635,1.6311,1.6209,3.1666,0.6053,1.0194,2.7444,0.5221,1.4181,5.5709,0.4628,1.4428,3.5255,0.7563,1.48,4.8034,9.0231,0.5994,0.6332,0.8065,1.3617,1.4467
0.789,0.9806,1.6667,2.5966,0.6076,0.6939,1.9376,0.4997,1.2188,5.2962,0.4983,0.8585,8.5813,0.3375,1.4826,3.8216,6.4639,1.1822,0.4876,0.5833,1.1497,2.4636
1.2479,1.7072,1.548,2.1998,0.565,0.8298,2.8484,0.529,1.4775,5.1147,0.4269,0.8598,5.6585,0.3766,1.0135,5.4624,4.9169,1.1239,0.9882,0.617,1.4132,2.4872
