最新股票名称_Lstknm,开盘价_Oppr
count,mean,std,min,25%,50%,75%,max,日振幅(%)_Dampltd
count,mean,std,min,25%,50%,75%,max,等权平均市场日资本收益率_Dareteq
count,mean,std,min,25%,50%,75%,max,日无风险收益率_DRfRet
count,mean,std,min,25%,50%,75%,max,市现率_PCF
count,mean,std,min,25%,50%,75%,max,日收益率_Dret
count,mean,std,min,25%,50%,75%,max,市净率_PB
count,mean,std,min,25%,50%,75%,max,成交量_Trdvol
count,mean,std,min,25%,50%,75%,max,总股数_Fullshr
count,mean,std,min,25%,50%,75%,max
洛阳钼业,544.0,5.630368,0.764568,4.12,5.1375,5.620,5.9925,8.20,544.0,3.894620,2.255419,0.7233,2.257775,3.28000,4.818600,13.8546,544.0,0.000461,0.011263,-0.0681,-0.005200,0.0017,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,547.0,22.446490,19.483757,13.12,14.19,15.88,18.18,79.18,544.0,0.000404,0.030059,-0.0949,-0.015025,0.00000,0.015100,0.1003,547.0,2.768135,0.498624,1.90,2.66,2.91,3.02,3.47,544.0,2.435604e+08,1.909234e+08,36589745.0,1.126676e+08,177062778.5,3.166118e+08,1.310302e+09,547.0,1.766577e+10,0.000000e+00,1.766577e+10,1.766577e+10,1.766577e+10,1.766577e+10,1.766577e+10
湖南黄金,544.0,11.271728,2.660865,7.21,8.7575,10.985,13.1125,18.37,544.0,3.966212,2.244003,0.6452,2.338250,3.35695,5.025150,12.3793,544.0,0.000437,0.013222,-0.0785,-0.006825,0.0018,0.00865,0.0459,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,546.0,16.964908,6.053893,9.55,12.31,14.37,23.52,25.36,544.0,0.001526,0.030278,-0.1003,-0.015825,0.00115,0.016100,0.1002,546.0,2.281996,0.323530,1.76,2.00,2.29,2.57,2.67,544.0,3.740558e+07,3.072803e+07,6099313.0,1.837166e+07,27108206.5,4.394222e+07,1.962178e+08,546.0,1.202039e+09,0.000000e+00,1.202039e+09,1.202039e+09,1.202039e+09,1.202039e+09,1.202039e+09
盛屯矿业,544.0,8.179007,1.836888,5.57,6.6500,7.775,9.3925,14.25,544.0,4.208175,2.417938,0.6612,2.347250,3.69145,5.455700,14.5469,544.0,0.000461,0.011263,-0.0681,-0.005200,0.0017,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,547.0,19.700091,8.439194,11.79,12.65,16.48,28.03,35.06,544.0,-0.000339,0.032034,-0.1002,-0.016425,0.00000,0.015950,0.1002,547.0,1.862962,0.456156,1.32,1.54,1.67,2.26,2.63,544.0,9.501236e+07,8.294030e+07,10797978.0,3.889666e+07,66162142.5,1.273677e+08,4.531269e+08,547.0,2.849321e+09,1.918855e+08,2.639492e+09,2.690111e+09,2.747143e+09,3.141203e+09,3.149653e+09
盛达资源,536.0,12.831511,1.434224,9.48,11.8000,12.880,13.7800,16.80,536.0,3.518914,1.778381,0.8681,2.251125,3.11110,4.366750,14.4928,544.0,0.000437,0.013222,-0.0785,-0.006825,0.0018,0.00865,0.0459,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,544.0,12.522169,3.252261,8.35,9.41,13.68,14.51,18.38,536.0,0.000494,0.027306,-0.1002,-0.013600,0.00000,0.014100,0.1000,544.0,3.373566,0.737397,2.43,2.87,3.32,3.71,4.94,536.0,1.038755e+07,6.978725e+06,2250118.0,5.780030e+06,8389115.5,1.259308e+07,6.343096e+07,544.0,6.899693e+08,0.000000e+00,6.899693e+08,6.899693e+08,6.899693e+08,6.899693e+08,6.899693e+08
紫金矿业,544.0,10.354007,1.098161,7.65,9.7575,10.315,11.1225,14.46,544.0,3.348500,1.718976,0.0000,2.116825,2.95755,4.134650,12.4188,544.0,0.000461,0.011263,-0.0681,-0.005200,0.0017,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,553.0,14.658807,4.732987,7.92,10.10,17.17,17.90,22.10,544.0,0.000960,0.027411,-0.0861,-0.015100,0.00000,0.014725,0.1002,553.0,3.534684,0.540296,2.45,3.17,3.77,3.81,4.17,544.0,2.710694e+08,1.428353e+08,79063000.0,1.657825e+08,241283455.5,3.260157e+08,1.031889e+09,553.0,2.041195e+10,3.502242e+08,1.964032e+10,2.059066e+10,2.059123e+10,2.059237e+10,2.059317e+10
融捷股份,543.0,107.280939,33.736038,36.85,90.0200,113.670,128.1950,190.11,543.0,6.329767,2.859801,1.3511,4.127600,5.86800,8.140300,18.6934,544.0,0.000437,0.013222,-0.0785,-0.006825,0.0018,0.00865,0.0459,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,546.0,334.973791,74.566450,211.20,246.78,396.34,396.34,396.34,543.0,0.002069,0.043520,-0.1000,-0.026600,-0.00110,0.026700,0.1001,546.0,30.521410,15.554296,8.23,18.69,30.63,32.98,58.11,543.0,1.040621e+07,4.703156e+06,1707256.0,7.038198e+06,9445932.0,1.259392e+07,3.179756e+07,546.0,2.596552e+08,0.000000e+00,2.596552e+08,2.596552e+08,2.596552e+08,2.596552e+08,2.596552e+08
西藏珠峰,544.0,24.660864,8.660204,8.69,19.6750,24.920,30.2775,48.92,544.0,5.713460,2.906871,1.1751,3.542875,5.06385,7.244150,17.9480,544.0,0.000461,0.011263,-0.0681,-0.005200,0.0017,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,545.0,40.322239,27.569468,9.80,24.59,29.16,35.33,93.89,544.0,0.002375,0.042187,-0.1002,-0.021125,-0.00035,0.022125,0.1004,545.0,7.305725,2.932775,4.20,5.17,5.51,9.10,12.35,544.0,4.112355e+07,2.460319e+07,8140191.0,2.311082e+07,34178560.5,5.112091e+07,1.466638e+08,545.0,9.142102e+08,0.000000e+00,9.142102e+08,9.142102e+08,9.142102e+08,9.142102e+08,9.142102e+08
西部矿业,544.0,12.894890,1.897472,9.21,11.3500,12.770,14.1025,19.40,544.0,3.992948,2.114176,0.8507,2.426875,3.47910,4.966525,12.5424,544.0,0.000461,0.011263,-0.0681,-0.005200,0.0017,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,552.0,6.497428,2.934527,2.80,3.54,7.61,9.08,10.17,544.0,0.000569,0.030987,-0.0997,-0.015800,0.00090,0.016425,0.1004,552.0,2.230652,0.448095,1.48,1.97,2.40,2.64,2.70,544.0,5.540808e+07,3.711387e+07,10536732.0,3.216514e+07,44942214.0,6.895579e+07,2.811157e+08,552.0,2.383000e+09,0.000000e+00,2.383000e+09,2.383000e+09,2.383000e+09,2.383000e+09,2.383000e+09
西部黄金,533.0,12.858987,1.079403,10.69,12.1500,12.780,13.3200,18.06,533.0,2.926967,2.065622,0.0000,1.480300,2.33360,3.666700,15.4462,544.0,0.000461,0.011263,-0.0681,-0.005200,0.0017,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,546.0,24.697418,11.548289,17.11,18.22,21.13,25.31,57.24,533.0,0.000413,0.024158,-0.0996,-0.011400,0.00000,0.009000,0.1002,546.0,4.197436,0.998590,2.32,4.32,4.68,4.84,5.14,533.0,9.787368e+06,1.020559e+07,1573455.0,3.874514e+06,6102328.0,1.147891e+07,6.917179e+07,546.0,7.078921e+08,1.190558e+08,6.360000e+08,6.360000e+08,6.426631e+08,6.426631e+08,9.254293e+08
赤峰黄金,544.0,17.232757,1.999451,13.99,15.4600,16.660,18.8000,22.49,544.0,3.573917,1.873134,0.8611,2.195925,3.09440,4.585375,10.1796,544.0,0.000461,0.011263,-0.0681,-0.005200,0.0017,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.000060,0.000066,0.000068,0.000078,550.0,35.470582,14.086880,22.53,23.26,35.14,39.95,68.78,544.0,0.000428,0.028573,-0.0992,-0.015500,-0.00190,0.014600,0.1001,550.0,6.072182,0.672315,5.04,5.52,6.14,6.54,7.29,544.0,4.385357e+07,2.477783e+07,10784556.0,2.694411e+07,38129346.5,5.252448e+07,1.713609e+08,550.0,1.663911e+09,0.000000e+00,1.663911e+09,1.663911e+09,1.663911e+09,1.663911e+09,1.663911e+09
金徽股份,270.0,13.262148,1.629141,10.95,12.475,12.88,13.2575,22.77,270.0,3.236370,2.306451,0.0000,1.6940,2.43850,3.916925,14.9898,270.0,0.000162,0.012743,-0.0681,-0.005100,0.00135,0.00800,0.0390,270.0,0.000058,0.000008,0.000044,0.00005,0.000060,0.000065,0.000067,246.0,16.493415,0.977345,15.45,15.83,16.67,16.67,18.02,270.0,3.703704e-07,0.029454,-0.1002,-0.012275,0.0016,0.009475,0.1003,246.0,3.937398,0.172378,3.73,3.80,4.08,4.08,4.13,270.0,6.340162e+06,8.900224e+06,524717.0,1552506.75,3281266.5,7.149890e+06,68517234.0,272.0,9.780000e+08,0.0,9.780000e+08,9.780000e+08,9.780000e+08,9.780000e+08,9.780000e+08
金钼股份,544.0,8.097941,2.101464,5.33,6.690,7.40,8.9900,15.09,544.0,3.802426,2.016220,0.7386,2.3227,3.35355,4.869600,12.5510,544.0,0.000461,0.011263,-0.0681,-0.005200,0.00170,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.00006,0.000066,0.000068,0.000078,546.0,35.646886,14.177819,13.68,26.07,29.43,48.73,56.55,544.0,1.610478e-03,0.026924,-0.0985,-0.013525,0.0014,0.014825,0.1007,546.0,1.876465,0.214065,1.57,1.74,1.84,1.98,2.29,544.0,3.163644e+07,2.008092e+07,6079202.0,17347743.00,25877738.0,4.038178e+07,128861364.0,546.0,3.226604e+09,0.0,3.226604e+09,3.226604e+09,3.226604e+09,3.226604e+09,3.226604e+09
银泰黄金,539.0,10.231058,1.734909,7.78,8.955,9.57,11.3700,16.03,539.0,3.848837,1.945332,0.5587,2.5042,3.50000,4.787450,18.9458,544.0,0.000437,0.013222,-0.0785,-0.006825,0.00180,0.00865,0.0459,544.0,0.000063,0.000008,0.000044,0.00006,0.000066,0.000068,0.000078,548.0,13.288321,3.548375,9.71,10.20,12.66,15.01,20.86,539.0,1.368646e-03,0.029666,-0.0997,-0.014850,0.0000,0.016400,0.1005,548.0,2.591551,0.303768,2.30,2.40,2.43,2.68,3.32,539.0,3.886232e+07,2.151679e+07,10067655.0,24074249.50,33333759.0,4.682967e+07,173151214.0,548.0,2.776722e+09,0.0,2.776722e+09,2.776722e+09,2.776722e+09,2.776722e+09,2.776722e+09
驰宏锌锗,544.0,5.157978,0.359984,4.24,4.910,5.15,5.3800,6.23,544.0,3.550591,1.946701,0.5988,2.1739,2.96235,4.273525,11.7537,544.0,0.000461,0.011263,-0.0681,-0.005200,0.00170,0.00770,0.0390,544.0,0.000063,0.000008,0.000044,0.00006,0.000066,0.000068,0.000078,544.0,8.686434,0.608762,8.09,8.19,8.21,9.19,9.61,544.0,5.878676e-04,0.027779,-0.1000,-0.014600,0.0000,0.013425,0.1010,544.0,1.653125,0.080609,1.46,1.64,1.70,1.70,1.72,544.0,9.694375e+07,6.261996e+07,20084169.0,55442862.25,79338881.0,1.156124e+08,495158327.0,544.0,5.091292e+09,0.0,5.091292e+09,5.091292e+09,5.091292e+09,5.091292e+09,5.091292e+09
