,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
最新股票名称_Lstknm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东黄金,544.0,19.584025735294116,1.603090870223728,16.76,18.35,19.4,20.58,24.66,544.0,2.319715441176471,1.364734269988154,0.578,1.4062,1.9721000000000002,2.782925,9.4784,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,545.0,30.23561467889909,15.445366941628444,14.23,14.82,24.38,45.56,52.78,544.0,7.040441176470594e-05,0.019416476149415673,-0.0767,-0.010125,-0.0005,0.00885,0.0876,545.0,2.9360917431192664,0.31568662157005684,2.4,2.78,2.93,3.11,3.54,544.0,26405560.01838235,17096244.4246916,7742832.0,15586723.0,20981331.0,31548370.5,136955985.0,545.0,3614443347.0,0.0,3614443347.0,3614443347.0,3614443347.0,3614443347.0,3614443347.0
广晟有色,544.0,43.38150735294118,6.789191193413197,28.94,38.0,43.43,47.8,71.79,544.0,4.819274080882352,2.5431856436912423,1.0849,2.944275,4.1116,6.074925,14.7146,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,546.0,53.11648351648351,74.32687339771223,22.57,24.71,25.33,32.87,270.26,544.0,0.0011516544117647059,0.03590927535038463,-0.1,-0.019225,-0.0009500000000000001,0.01785,0.1001,546.0,5.694175824175823,1.7159822282183597,3.81,4.01,5.28,6.47,8.82,544.0,11758010.551470589,9058920.177408267,2518142.0,5201400.5,8650416.5,15539206.0,51120465.0,546.0,318167627.4505494,17306506.084315818,301802291.0,301802291.0,301802291.0,336435910.0,336435910.0
洛阳钼业,544.0,5.630367647058823,0.7645681823556985,4.12,5.137499999999999,5.62,5.9925,8.2,544.0,3.894619669117647,2.2554187416493896,0.7233,2.257775,3.2800000000000002,4.8186,13.8546,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,547.0,22.446489945155392,19.483756880089746,13.12,14.19,15.88,18.18,79.18,544.0,0.00040441176470588274,0.030058547210848743,-0.0949,-0.015025,0.0,0.0151,0.1003,547.0,2.7681352833638027,0.4986235596042015,1.9,2.66,2.91,3.02,3.47,544.0,243560448.06066176,190923360.7061719,36589745.0,112667646.75,177062778.5,316611846.25,1310302262.0,547.0,17665772583.0,0.0,17665772583.0,17665772583.0,17665772583.0,17665772583.0,17665772583.0
湖南黄金,544.0,11.27172794117647,2.6608652048825903,7.21,8.7575,10.985,13.112499999999999,18.37,544.0,3.9662117647058825,2.244003149277681,0.6452,2.33825,3.3569500000000003,5.02515,12.3793,544.0,0.0004367647058823529,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,546.0,16.964908424908426,6.053893166274314,9.55,12.31,14.37,23.52,25.36,544.0,0.0015259191176470585,0.030277948279369575,-0.1003,-0.015825000000000002,0.00115,0.0161,0.1002,546.0,2.2819963369963365,0.3235301951016644,1.76,2.0,2.29,2.57,2.67,544.0,37405581.63235294,30728028.970916316,6099313.0,18371658.5,27108206.5,43942217.25,196217828.0,546.0,1202039474.0,0.0,1202039474.0,1202039474.0,1202039474.0,1202039474.0,1202039474.0
盛屯矿业,544.0,8.179007352941177,1.8368880642366734,5.57,6.65,7.775,9.3925,14.25,544.0,4.208174632352942,2.417938172970015,0.6612,2.34725,3.6914499999999997,5.4557,14.5469,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,547.0,19.700091407678247,8.439193894050128,11.79,12.65,16.48,28.03,35.06,544.0,-0.00033860294117647093,0.03203359796234192,-0.1002,-0.016425000000000002,0.0,0.015950000000000002,0.1002,547.0,1.862961608775137,0.45615570367577546,1.32,1.54,1.67,2.26,2.63,544.0,95012356.1047794,82940304.71033934,10797978.0,38896659.25,66162142.5,127367677.0,453126877.0,547.0,2849320777.4369287,191885461.9144668,2639491826.0,2690111036.0,2747143184.0,3141203280.0,3149652926.0
盛达资源,536.0,12.831511194029853,1.4342244482990654,9.48,11.8,12.879999999999999,13.78,16.8,536.0,3.5189139925373136,1.7783807314179405,0.8681,2.251125,3.1111,4.366750000000001,14.4928,544.0,0.0004367647058823529,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,544.0,12.522169117647058,3.252261386488282,8.35,9.41,13.68,14.51,18.38,536.0,0.0004938432835820894,0.027305710938821195,-0.1002,-0.0136,0.0,0.014099999999999998,0.1,544.0,3.3735661764705887,0.7373970966292271,2.43,2.87,3.32,3.71,4.94,536.0,10387552.06902985,6978724.950257682,2250118.0,5780030.0,8389115.5,12593078.0,63430959.0,544.0,689969346.0,0.0,689969346.0,689969346.0,689969346.0,689969346.0,689969346.0
紫金矿业,544.0,10.354007352941176,1.0981609136237858,7.65,9.7575,10.315000000000001,11.1225,14.46,544.0,3.3485001838235293,1.7189757312166847,0.0,2.116825,2.95755,4.13465,12.4188,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,553.0,14.65880650994575,4.73298669613117,7.92,10.1,17.17,17.9,22.1,544.0,0.0009599264705882351,0.027410873029066002,-0.0861,-0.0151,0.0,0.014725,0.1002,553.0,3.5346835443037974,0.5402960970620264,2.45,3.17,3.77,3.81,4.17,544.0,271069436.5202206,142835256.85412014,79063000.0,165782501.5,241283455.5,326015655.75,1031889097.0,553.0,20411946198.831825,350224187.1039327,19640319946.0,20590662240.0,20591232240.0,20592372240.0,20593172240.0
融捷股份,543.0,107.28093922651932,33.73603804197171,36.85,90.02000000000001,113.67,128.195,190.11,543.0,6.3297672191528545,2.859801421000787,1.3511,4.127599999999999,5.867999999999999,8.1403,18.6934,544.0,0.0004367647058823529,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,546.0,334.9737912087912,74.56645020053334,211.2,246.78,396.34,396.34,396.34,543.0,0.002068876611418048,0.043519504979725114,-0.1,-0.0266,-0.0011,0.0267,0.1001,546.0,30.52141025641026,15.554296483880108,8.23,18.69,30.63,32.98,58.11,543.0,10406209.714548804,4703155.5582747115,1707256.0,7038198.5,9445932.0,12593922.0,31797562.0,546.0,259655203.0,0.0,259655203.0,259655203.0,259655203.0,259655203.0,259655203.0
西藏珠峰,544.0,24.66086397058823,8.660203989398845,8.69,19.674999999999997,24.92,30.2775,48.92,544.0,5.713460477941177,2.9068711832586325,1.1751,3.5428750000000004,5.06385,7.24415,17.948,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,545.0,40.3222385321101,27.569467735699263,9.8,24.59,29.16,35.33,93.89,544.0,0.002374632352941176,0.04218695411463691,-0.1002,-0.021124999999999998,-0.00035,0.022125,0.1004,545.0,7.305724770642201,2.9327754054003723,4.2,5.17,5.51,9.1,12.35,544.0,41123554.29779412,24603186.61689024,8140191.0,23110824.25,34178560.5,51120912.25,146663826.0,545.0,914210168.0,0.0,914210168.0,914210168.0,914210168.0,914210168.0,914210168.0
西部矿业,544.0,12.894889705882353,1.8974719021605246,9.21,11.35,12.77,14.1025,19.4,544.0,3.9929483455882355,2.114175583568129,0.8507,2.426875,3.4791,4.966525,12.5424,544.0,0.00046121323529411755,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,552.0,6.497427536231884,2.934527218265231,2.8,3.54,7.61,9.08,10.17,544.0,0.0005685661764705885,0.030987319110215683,-0.0997,-0.0158,0.0009,0.016425,0.1004,552.0,2.2306521739130436,0.4480945041004921,1.48,1.97,2.4,2.64,2.7,544.0,55408078.308823526,37113870.60454504,10536732.0,32165142.0,44942214.0,68955793.0,281115706.0,552.0,2383000000.0,0.0,2383000000.0,2383000000.0,2383000000.0,2383000000.0,2383000000.0
西部黄金,533.0,12.858986866791746,1.0794034248540223,10.69,12.15,12.78,13.32,18.06,533.0,2.926966979362101,2.065621727255645,0.0,1.4803,2.3336,3.6667,15.4462,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,546.0,24.697417582417582,11.548288793272706,17.11,18.22,21.13,25.31,57.24,533.0,0.0004129455909943714,0.024157627754255992,-0.0996,-0.0114,0.0,0.009000000000000001,0.1002,546.0,4.197435897435898,0.9985902083138019,2.32,4.32,4.68,4.84,5.14,533.0,9787368.099437147,10205590.870553179,1573455.0,3874514.0,6102328.0,11478906.0,69171794.0,546.0,707892086.2948718,119055813.92604753,636000000.0,636000000.0,642663100.0,642663100.0,925429336.0
赤峰黄金,544.0,17.232757352941174,1.9994507827717793,13.99,15.46,16.66,18.8,22.49,544.0,3.5739170955882353,1.8731339339447715,0.8611,2.195925,3.0944000000000003,4.585375,10.1796,544.0,0.00046121323529411777,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,550.0,35.47058181818182,14.08687974966905,22.53,23.26,35.14,39.95,68.78,544.0,0.00042830882352941195,0.028572666691248888,-0.0992,-0.015500000000000002,-0.0019,0.0146,0.1001,550.0,6.072181818181818,0.6723153883809913,5.04,5.52,6.14,6.54,7.29,544.0,43853565.96139706,24777832.885395035,10784556.0,26944108.0,38129346.5,52524478.75,171360940.0,550.0,1663911378.0,0.0,1663911378.0,1663911378.0,1663911378.0,1663911378.0,1663911378.0
金徽股份,270.0,13.262148148148148,1.6291407113949485,10.95,12.475000000000001,12.88,13.2575,22.77,270.0,3.2363703703703703,2.306451136549358,0.0,1.694,2.4385000000000003,3.916925,14.9898,270.0,0.00016222222222222232,0.012742589459032156,-0.0681,-0.0051,0.00135,0.008,0.039,270.0,5.754074074074075e-05,8.157157974139195e-06,4.4e-05,5.025e-05,5.9999999999999995e-05,6.500000000000001e-05,6.7e-05,246.0,16.49341463414634,0.9773448657257467,15.45,15.83,16.67,16.67,18.02,270.0,3.7037037037063797e-07,0.029453838242628254,-0.1002,-0.012275000000000001,0.0016,0.009474999999999999,0.1003,246.0,3.9373983739837395,0.17237755144520198,3.73,3.8,4.08,4.08,4.13,270.0,6340161.777777778,8900224.141944604,524717.0,1552506.75,3281266.5,7149889.75,68517234.0,272.0,978000000.0,0.0,978000000.0,978000000.0,978000000.0,978000000.0,978000000.0
金钼股份,544.0,8.09794117647059,2.1014644959744073,5.33,6.69,7.4,8.99,15.09,544.0,3.8024262867647063,2.016220376802704,0.7386,2.3227,3.3535500000000003,4.8696,12.550999999999998,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,546.0,35.64688644688644,14.177818578533074,13.68,26.07,29.43,48.73,56.55,544.0,0.0016104779411764709,0.02692417530728496,-0.0985,-0.013525,0.0014,0.014825000000000001,0.1007,546.0,1.8764652014652015,0.21406540130190702,1.57,1.74,1.84,1.98,2.29,544.0,31636443.93014706,20080921.568752635,6079202.0,17347743.0,25877738.0,40381776.5,128861364.0,546.0,3226604400.0,0.0,3226604400.0,3226604400.0,3226604400.0,3226604400.0,3226604400.0
银泰黄金,539.0,10.231057513914656,1.7349085323569968,7.78,8.955,9.57,11.370000000000001,16.03,539.0,3.8488371057513917,1.9453317803422252,0.5587,2.5042,3.5,4.78745,18.9458,544.0,0.000436764705882353,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,548.0,13.288321167883211,3.548375340952865,9.71,10.2,12.66,15.01,20.86,539.0,0.0013686456400742117,0.02966572064891647,-0.0997,-0.01485,0.0,0.0164,0.1005,548.0,2.591551094890511,0.30376787289324997,2.3,2.4,2.43,2.68,3.32,539.0,38862319.528756954,21516794.70628796,10067655.0,24074249.5,33333759.0,46829668.5,173151214.0,548.0,2776722265.0,0.0,2776722265.0,2776722265.0,2776722265.0,2776722265.0,2776722265.0
驰宏锌锗,544.0,5.157977941176471,0.35998407918369807,4.24,4.91,5.15,5.38,6.23,544.0,3.5505909926470585,1.94670063418257,0.5988,2.1739,2.96235,4.273525,11.7537,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,544.0,8.686433823529413,0.6087621132509288,8.09,8.19,8.21,9.19,9.61,544.0,0.0005878676470588235,0.027779441101845177,-0.1,-0.0146,0.0,0.013425,0.10099999999999999,544.0,1.653125,0.080608728032334,1.46,1.64,1.7,1.7,1.72,544.0,96943751.57904412,62619964.93904617,20084169.0,55442862.25,79338881.0,115612375.25,495158327.0,544.0,5091291568.0,0.0,5091291568.0,5091291568.0,5091291568.0,5091291568.0,5091291568.0
