安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
1735664,132692005,38971324,11980004,3815012,23346593,4316387,21818742,90493082,11255842,21744656,8886667,36061794,11723445,42893745,28457305,6840389,37333462,39291647,52584947,24720486,184190365
1580713,112883984,29520761,10322862,7259601,27928804,6690722,15634393,114221559,12939647,34527487,10525919,28561396,7125134,30297003,36307257,14655562,46599706,35169957,35756524,26961764,192296930
1092564,99474999,53343787,5331725,6658001,27094102,6667522,28087938,114679173,8281697,24852837,10776210,39632108,8742386,33450883,51805468,11378330,33180851,35828559,29232500,34612576,299728212
1308120,157508725,33375831,4172797,5109600,28172243,8443822,37925418,69658724,7089294,14844840,12380648,30742115,5807479,74244774,20915945,25247932,33792450,39961870,19430901,25263356,314943845
2145093,77405691,41357535,6735810,6798672,27122311,6078995,28592914,76615891,10679548,14975281,6095199,15234232,7208398,47354948,37727130,38248608,27770540,28947669,24246260,19226210,296454908
4350939,110353423,30915130,8532514,9220904,24615770,12332989,36064469,55485137,9014233,25155468,9811215,20195915,6595954,48199171,22842987,58517914,26139627,21616528,20703129,39716119,228910343
2979297,88473204,23916732,6662264,18075340,24347976,7024100,34320567,59464685,7094781,14307416,5344439,17878168,8814250,38430455,17189087,33992678,27405157,23741019,53549415,72155251,167790849
1812300,93531602,25186672,6238349,27988855,19928737,9616000,22847734,67433493,8070206,24840922,6401283,17217217,6743435,47647139,21981714,25862722,36868164,53471957,144963650,46588652,263963327
1348300,116206795,36033037,4989405,19798762,15423821,8194800,24450721,88896016,4997521,22489450,6135036,28161994,8542400,47573365,14601145,23991730,41243205,28012712,64627440,44613353,128844015
2469120,125817652,43768703,4217085,10131644,22719432,17538885,27401616,71862079,7507688,18179001,6706241,29160006,7213261,36664760,21134250,13846230,27943038,39286607,56568305,40553640,109319140
1795484,82897815,25413919,6108769,13686453,22328382,15599059,24332061,79163589,6032781,17060431,5423926,21393970,7500376,81373394,35580046,19525627,28159535,28696160,41364652,40123511,102311798
1451100,77964134,49235259,4954847,7190984,24103101,30274089,29859491,127258327,9464713,15589100,4735378,24571167,7559223,62432902,51194273,35459357,49930581,21770036,92619710,36462970,98676666
1137500,61184494,34213735,4161084,6581138,14141121,15749050,35706244,110033197,7103660,18306516,5114841,15380087,6291294,61992449,27606431,18975604,23732936,25758188,57270826,19730295,139700434
1048663,57273581,23367297,5040682,5600104,25007364,15458624,19599501,138128730,4969564,11192367,3826054,11774991,6251801,38078389,18795965,25453576,37310123,26933164,94050500,20595518,524156843
1270493,94517326,34183793,3708153,4754330,17646487,13828888,27410118,81783145,5713565,13416403,5286141,19304552,6158270,63289480,17135083,32339692,28732083,27401686,107103403,15831377,248076288
1063505,64752255,25317728,5254076,5567240,21669758,10955874,27280374,365006166,8527252,9087760,4123830,13134665,7048106,54961314,31526815,50015282,24359864,17300845,86094500,21826166,234017150
1385528,78778815,39956881,7385097,4870185,32268761,12752567,60404290,189508531,5667457,12873087,5818602,26061055,11478906,45568922,27436257,28705100,16611969,22772092,69859230,28697411,234463111
1077842,76060151,20570379,5051858,4341643,23412660,8532175,81538889,254058906,6849076,14205838,4012453,19823518,9652934,36580176,35386664,40771016,21262470,19736382,91593333,22302551,198857512
1016500,80669975,33592051,4793136,3088405,19329038,7391700,82352121,182923582,8818254,13417756,4332300,29459436,6299895,36580177,30232818,36936860,39828511,23205144,99395446,19806871,162469224
2297292,57815755,28262767,4524109,5088972,13656044,9892225,66635656,122621473,7519790,13035290,4643701,22270073,4756474,72270239,22065000,37003927,27808188,17854991,68963964,16556666,139793507
1589385,66897985,24820062,5267989,3768200,15643868,6677331,71108955,144447139,7670948,11910756,4164911,24054780,5662210,80392633,20788585,46986227,26025283,24807740,60834401,16927506,175211317
758200,42291429,20170457,4617284,3534307,10353098,9645420,47614638,106344904,5269330,7742832,5561300,21385010,4378554,67843326,18376678,58430512,38658382,20041274,41519100,15654937,141275714
1521180,60066410,57861879,3527747,2312813,10767994,6931900,49204790,79247958,4913720,34246849,6288820,25650833,3739766,57300418,15887407,51200994,33207965,16186087,31444401,56983737,172754824
1334446,75708543,54410690,5138880,6309044,29607802,9960700,36578395,162092044,8757532,14739340,4528746,18158035,12355724,48336292,22662940,34332192,17424564,14151302,56568831,48458264,146074707
2872490,52664028,35197779,3848367,6841207,34503958,6242600,43072634,134328921,7507755,18774813,3962989,30606520,7003278,48336293,20153017,25258667,15780649,60058711,51913333,27965653,101832305
2061350,47371291,33446670,11611655,4581006,21156512,7481400,36954457,94583527,6566794,24685179,4181203,23731423,5976374,42774553,25187721,19868536,28487758,32658272,49148012,20209246,106845757
2163091,76599585,54040207,22735709,3935300,25385642,8575758,27985220,136793315,6002856,26815787,4317184,33293885,11841892,35744524,20520148,18494932,37260889,28863206,34406689,23326860,107125151
1409017,70923720,45792858,18703907,6269886,35478707,11021717,44230427,104022227,6571592,17859172,4730795,49785627,14204452,25358322,21929201,21567338,26366472,47675941,37069100,35963408,136386500
1047324,75097286,43822088,13812207,5007134,29269053,6588269,38882962,79782495,5758314,15183116,7183774,66415456,10886469,39524517,21166715,21913110,48435560,44568689,28548247,25361461,136386501
2089536,60033693,57411693,20964235,4868699,21762788,10712414,40882360,137188017,9646934,16492390,5632102,66415457,7902342,48648424,30387495,30417403,56936078,28693094,25762910,25672977,265077369
1861689,54533039,78697806,19869620,3050472,25853861,12314417,40776564,173465758,6435794,9647390,5729025,44732356,8024271,33318751,20876988,29346677,33915835,24874838,27208420,25769520,168484044
4924520,93375799,78697807,17800294,11988513,24523521,6108655,34021128,113552511,15742853,17465993,6813211,40990288,4811300,30101384,27551201,24492458,29832019,31158820,26268042,16205637,146393708
3751672,104973956,107527118,12183246,12190288,19161008,10375474,37005990,204794950,15974812,27700041,13333547,35754067,8228843,32195448,58099427,20559188,21263272,25951984,25422500,33369357,342977068
2021469,58003585,53470178,18266416,11429282,41079376,16379031,34922163,303295377,19494523,22648642,24572892,21847657,12046886,41785655,68015631,23226239,31255881,26222010,37051042,33369358,173211806
2388100,52748271,42073808,10304468,8161287,36410682,8102462,53205085,149283067,14943386,65259346,22045150,47926798,16442666,31551670,42018363,27407900,46145393,38907178,77720584,42897184,171305082
1535617,42220937,39352680,7882050,6277658,43917113,8771670,62219664,121866061,8854671,22287185,10047120,65349419,21033952,41751019,47916172,18159871,37159199,52241152,105907129,56408113,218922797
1644752,163534074,35992865,6571668,25410824,20110941,7531606,122283463,103855913,10809389,101113729,31037304,33279930,10029693,71150512,39131451,15749560,31499692,77296370,65861957,49554192,173509392
1620860,79440025,51733811,7697485,13522228,47502575,6063181,68255845,177004983,10513381,42579885,15783146,28080995,15339869,72147317,36615191,16747857,93949947,30331300,109706080,36482424,142263556
1337052,67317434,38070824,6506550,10978156,29077603,11450573,78633536,197729520,11861745,24098089,7839962,27028814,10267250,71594282,54491055,30169854,41642920,78278759,57104983,48230601,293136408
1315000,40000538,89300001,4749400,7993952,18484045,17386778,69688316,118801401,10182746,39975867,7854969,51842748,6474315,39843243,33524485,32301670,89913370,46907704,74057541,41243455,742699594
1683163,39401486,63346838,4492630,11596871,23079779,21378252,40397372,178884646,7997018,23738211,7154137,35730242,10063908,39172576,19831320,25526164,52868242,29107045,43065166,28443015,363657732
3389161,50699106,86485272,5390276,9858009,18382424,13050369,53595877,113811093,7722397,28081449,10528549,34097274,8577695,39739722,25681740,24124455,38166261,39825033,34979616,22838764,536101697
2043459,36501219,44915625,5087711,5669600,15154770,11302231,28698081,80550199,7882940,15973429,6104200,30205442,6220103,31138882,21159667,13557300,35284667,24127421,34945800,22274918,213962717
2094116,42178914,50137925,3480976,6973300,13654749,21076007,43857932,68776906,7098002,14926733,5571751,29623625,4962243,44370893,16301209,13547575,60348115,19791744,22827800,22195017,820813076
1064499,34261646,60703255,5147004,5021113,17122247,15102613,27527352,62991287,9007478,11924775,3507792,22467693,4720118,36066928,21503015,26973002,22070497,21107637,22827801,18873360,459254363
1353500,52354078,48545511,4502341,4079976,8202446,9178823,26095072,52488721,8337911,31498653,7835290,19493666,4128685,45372645,17870493,23357542,29882210,20955187,22827802,31864883,296318868
940758,55538024,26885455,3655040,18609901,22618977,6837580,35046295,50658561,8389653,51664131,8265223,25242199,7228954,68540436,16105792,22822750,21721329,19249295,22827803,41931502,249677241
1337452,42620649,28156835,3636959,8571318,20383145,8499689,42924821,49057573,5513656,27526410,11449049,17487400,8971882,50319787,13995315,22049473,18023227,33779101,22827804,24448600,347511455
1153548,76146676,17814493,4211801,7712408,18601206,9600304,32295049,85769160,5160082,35128673,8266411,20552300,6497774,53242319,12541417,42755052,29756288,51086575,22827805,22325062,222152882
1028974,42961880,22205954,3747900,4231685,28735965,7115602,24360525,118690002,7032985,22631215,9634093,24108813,6648200,50410084,16188744,27827872,24335855,37814878,99072072,27690280,275648574
2584748,69816180,51707576,3056358,6978744,20048497,6124298,45762002,78479167,17578368,26376572,13273102,23052373,5979059,81830744,25067197,18213156,25099590,30810660,72054617,29063300,179331303
1525036,46946581,55695494,4352402,4814384,27054278,6364468,54074924,130101996,9980726,48747204,14563079,34752985,7654254,66162199,15988832,17900166,42977007,21928991,49360515,27235933,155610090
1508529,94005535,36357556,4624180,7923893,35569802,9491067,46061493,83911697,6813610,34183982,26608733,29228480,10494113,63608777,13188517,25230935,82483601,41378526,48483733,21129356,171961026
1004385,56835807,38786857,11857171,6608284,21829966,8001767,44609608,156176046,6355662,22493869,16944446,40214606,6168024,55685313,14809218,37467905,42679673,47139587,70413867,18606644,173300051
1192526,68487885,29939461,5614113,3723207,33279080,9756597,58581283,87087192,8348468,24034802,12442701,18019338,4327157,38060508,19622844,53531330,104911299,40505622,49451191,62385659,163193830
1107574,54136990,39494478,4292028,8423384,18290239,6930908,43860125,82604805,8447511,16398350,6693858,43720805,4807915,45511522,19549906,39870768,104911300,26288348,25546361,37739549,208150733
1192740,101227184,69991826,3966005,3160735,18111422,5041031,64643641,57850673,6272884,15048939,12827567,22423740,3874514,99828191,19333142,33274509,104911301,26442340,19197800,26817825,147098132
1426681,74711775,48979034,5172530,14642943,21418869,8387621,30950014,240132891,9722302,45180191,11113621,24110548,3851183,52315898,58802622,46486576,104911302,26512138,32007100,19296300,432823798
890846,58531086,37100863,4519219,8184941,17163019,9852415,76196288,123329540,8654323,20192488,5774036,55788607,6102328,36799068,33909417,68873140,104911303,56933917,21349600,37061868,227035825
1283400,56729518,27663119,8091190,7295040,17385501,8151625,45440479,104493800,4842095,15818839,6485433,42093292,3893697,41877130,41264687,64708802,104911304,52817889,18942104,39128178,288048196
943183,50630589,21901899,3917477,5353400,14519002,10034048,72619045,81159290,5494280,29177972,12649730,33376289,4767974,41853861,36197060,55804597,173151214,26404177,16145000,27220332,172410459
923522,32710898,48737333,3384838,8727566,18080197,6146650,70227085,84417384,7828354,14053584,6240227,20928685,4412436,51592427,25254031,36570707,85768392,29455236,12342020,18525216,163043069
1185209,49362817,39701510,3731114,2730467,19088682,5851300,47978458,53063122,7313268,13733681,6236778,19027477,3272958,46569346,22632559,44869889,73976873,25650098,16949600,17092580,94830304
546363,22385372,33241436,4205264,5598630,16470548,16684545,51359487,90722770,8494269,9050799,3995791,25158766,3455867,51088201,20630990,60611738,109288919,16853642,14119100,16978066,234509493
597600,26855168,26063273,2518142,3878242,11239428,11382570,32639659,52366726,4814524,16449575,10074029,23570990,2237080,24324628,14667622,51068722,48969123,20951409,13851706,19510762,166552027
854700,32805378,28895182,3152598,4191474,25033798,9713479,27174407,43124834,4162048,12007932,5957075,24986968,4249385,39980190,33904464,34095033,47156592,14409052,17613399,13405453,106640564
499900,25880129,15911599,3446202,5049009,18006826,6263500,29123901,50279800,7561905,9657608,4951290,15352741,3224800,58658273,20181271,25497951,50136055,21870200,13480738,12715500,130256410
611200,34382748,13352066,2711400,3321493,9704731,8345600,32968099,36589745,4402605,9952492,4175200,13983398,2400300,105597710,27006095,40809693,50475866,18203370,9440020,18489776,145297324
459830,34498959,15234778,3215200,4281651,11657016,6245300,35559024,49072221,4742976,15579592,5151288,15853954,11791784,109743223,21741683,36814831,35246162,16262031,10304000,13635842,118304167
494171,32452457,25923384,4936601,3262156,16072367,8027054,27733728,48942649,4656783,12323746,3582162,12476546,8799751,93642777,17357345,34080098,49151242,11452818,11848940,11219510,139321031
